Timestamp_ms,AccX_Filt,AccY_Filt,AccZ_Filt,GyrX_Filt,GyrY_Filt,GyrZ_Filt,MagX_Filt,MagY_Filt,MagZ_Filt
5233,-0.1507,-0.0261,9.8417,-0.9720,0.7830,-0.3913,-7.8300,-58.1850,-12.5550
5240,-0.0772,-0.0334,9.8323,-0.3655,1.0590,0.7341,-7.9486,-61.7881,-12.9450
5248,-0.0556,-0.0262,9.8355,-0.1014,0.5406,1.0296,-7.9639,-62.0842,-13.1365
5256,-0.0459,-0.0460,9.7878,0.3684,0.0046,1.2238,-7.8061,-62.5190,-13.1653
5264,-0.0441,-0.0459,9.7891,0.3430,-0.5030,1.7845,-7.6948,-62.6593,-13.1569
5272,-0.0576,-0.0137,9.7874,0.3467,-0.4807,1.0637,-7.6072,-62.6508,-13.1297
5280,-0.0559,0.0019,9.7847,-0.0168,-0.7683,1.1896,-7.5758,-62.4729,-13.0707
5288,-0.0448,-0.0029,9.7756,-0.0700,-0.7801,1.3949,-7.5427,-62.2631,-13.0104
5296,-0.0412,-0.0125,9.7787,-0.0620,-0.7327,1.1167,-7.3444,-62.1645,-13.0316
5304,-0.0225,-0.0076,9.7897,0.1311,-0.8748,0.9573,-7.1786,-62.0259,-13.0358
5312,-0.0254,-0.0012,9.7805,0.0649,-0.7016,0.8972,-7.0365,-61.8585,-13.0279
5320,-0.0263,-0.0196,9.7760,0.0810,-0.7378,0.8523,-6.9743,-61.5337,-13.0726
5328,-0.0285,-0.0294,9.7770,0.0071,-0.5679,0.5979,-6.8365,-61.2940,-12.8835
5336,-0.0243,-0.0296,9.7819,0.0938,-0.5281,0.5191,-6.7668,-60.9089,-12.8510
5344,-0.0242,-0.0287,9.7862,0.1418,-0.3968,0.5101,-6.7022,-60.5370,-12.8150
5352,-0.0344,-0.0191,9.7742,0.1884,-0.2855,0.5591,-6.6323,-60.3066,-12.7389
5360,-0.0303,-0.0286,9.7762,0.1293,-0.2998,0.6068,-6.6021,-60.0353,-12.6121
5368,-0.0190,-0.0298,9.7693,0.0320,-0.2118,0.5649,-6.5801,-59.9039,-12.5593
5376,-0.0160,-0.0280,9.7790,-0.0167,-0.2609,0.4766,-6.5571,-59.5762,-12.5296
5384,-0.0195,-0.0227,9.7800,0.0331,-0.3204,0.6411,-6.5334,-59.2537,-12.4973
5392,-0.0232,-0.0146,9.7851,0.0566,-0.2030,0.5463,-6.5020,-58.9074,-12.4555
5400,-0.0222,-0.0190,9.7865,0.0426,-0.1524,0.4170,-6.4708,-58.5680,-12.4126
5408,-0.0148,-0.0188,9.7975,0.0054,-0.2307,0.4818,-6.4332,-58.3258,-12.3555
5416,0.0025,-0.0121,9.7948,-0.0729,-0.2385,0.4095,-6.3962,-58.0816,-12.2987
5424,0.0033,-0.0186,9.7989,-0.0059,-0.2391,0.3625,-6.3600,-57.8361,-12.2421
5432,-0.0043,-0.0133,9.7989,0.0400,-0.2690,0.2960,-6.3531,-57.5433,-12.1857
