Timestamp_ms,AccX_Filt,AccY_Filt,AccZ_Filt,GyrX_Filt,GyrY_Filt,GyrZ_Filt,MagX_Filt,MagY_Filt,MagZ_Filt
5233,-0.0642,-0.0533,9.8373,0.4527,-0.6379,1.0463,10.3950,4.3200,-52.7850
5240,-0.0334,-0.0392,9.8111,-0.0333,0.2738,1.0793,10.6223,4.7163,-54.9510
5248,-0.0295,-0.0198,9.8055,-0.0739,0.3348,0.8461,10.9568,4.5514,-55.4381
5256,-0.0114,-0.0558,9.7977,-0.0942,-0.1559,0.3305,11.1008,4.4556,-55.5494
5264,0.0249,-0.0392,9.7869,0.0661,0.1405,0.1064,11.0489,4.3591,-55.7708
5272,0.0182,-0.0392,9.7813,0.4009,0.2148,-0.2813,10.8734,4.5324,-55.5330
5280,0.0133,-0.0446,9.7811,0.3017,0.2591,0.0121,10.7323,4.6503,-55.2845
5288,0.0040,-0.0432,9.7642,0.1875,0.0876,0.3514,10.6686,4.6408,-55.0298
5296,0.0128,-0.0498,9.7986,0.0346,0.3921,0.2840,10.6075,4.6284,-54.7716
5304,0.0054,-0.0497,9.8084,0.3429,0.3088,0.2685,10.5482,4.6139,-54.5114
5312,0.0067,-0.0536,9.8084,0.2116,0.2639,0.1195,10.5309,4.5845,-54.3990
5320,0.0139,-0.0404,9.8057,0.2556,0.1383,0.1871,10.3226,4.5811,-54.1007
5328,0.0148,-0.0424,9.8157,0.1386,0.1549,0.3115,10.2764,4.6206,-53.9915
5336,0.0087,-0.0535,9.8139,0.1928,0.0625,0.3752,10.2303,4.6515,-53.8612
5344,0.0060,-0.0424,9.8032,0.1207,-0.0319,0.2331,10.2139,4.6357,-53.6349
5352,-0.0023,-0.0346,9.8008,0.1096,-0.1326,0.0160,10.1287,4.6657,-53.3588
5360,-0.0077,-0.0229,9.7919,0.0328,-0.1760,-0.0595,10.0570,4.6547,-53.0769
5368,0.0034,-0.0125,9.7921,0.0284,-0.2752,0.0300,9.9882,4.6424,-52.7988
5376,-0.0005,-0.0066,9.7905,-0.0571,-0.2208,0.0213,9.9220,4.6293,-52.5241
5384,-0.0097,-0.0051,9.7861,-0.0631,-0.1715,0.1751,9.8133,4.5706,-52.2079
5392,0.0032,-0.0085,9.7968,-0.1672,-0.1667,0.1180,9.7107,4.5154,-51.8991
5400,-0.0011,-0.0036,9.7971,-0.1380,-0.2335,0.1724,9.6951,4.5517,-51.6444
5408,-0.0031,-0.0112,9.8005,-0.2638,-0.0695,-0.0202,9.6772,4.5830,-51.3914
5416,-0.0031,-0.0186,9.8041,-0.1798,-0.0267,-0.1233,9.6760,4.5102,-51.1091
5424,0.0076,-0.0104,9.7963,-0.2216,-0.0601,-0.0560,9.6117,4.4416,-50.8728
5432,0.0002,-0.0123,9.7924,-0.1431,0.0163,-0.0816,9.5722,4.3883,-50.6199
5440,0.0018,-0.0066,9.7931,-0.0893,0.0106,-0.0349,9.5160,4.3485,-50.3525
5448,0.0046,-0.0066,9.7946,0.0145,-0.0105,-0.1615,9.4609,4.3101,-50.0881
5456,0.0098,-0.0083,9.7932,-0.0190,-0.0675,-0.1370,9.3861,4.2679,-49.8320
5464,0.0059,-0.0044,9.7970,0.0141,-0.0810,-0.2091,9.3337,4.2472,-49.5733
5472,0.0179,-0.0078,9.8086,0.0087,-0.0179,-0.1222,9.3305,4.1638,-49.3561
5480,0.0082,0.0002,9.8123,0.0306,0.0024,-0.1215,9.3250,4.0846,-49.1390
5488,0.0017,-0.0068,9.8083,0.0721,-0.0259,-0.1237,9.3175,4.0092,-48.9222
5496,0.0045,-0.0085,9.8184,0.1581,0.0414,-0.1817,9.2994,4.0035,-48.6837
5504,0.0106,-0.0101,9.8207,0.1811,-0.0320,-0.1315,9.2801,3.9972,-48.4469
5512,0.0039,-0.0056,9.8187,0.1796,-0.0523,-0.1969,9.2515,4.0070,-48.2660
5520,0.0097,-0.0002,9.8218,0.1725,0.0637,-0.1352,9.2224,4.0154,-48.0839
5528,0.0090,0.0029,9.8087,0.2171,-0.0264,-0.1910,9.2126,4.0028,-47.8138
5536,-0.0004,-0.0006,9.8165,0.2282,-0.0948,-0.2183,9.1629,3.9901,-47.5935
5544,-0.0038,0.0039,9.8212,0.2387,-0.0297,-0.2301,9.1552,4.0110,-47.3631
5552,0.0105,0.0007,9.8150,0.2796,0.0039,-0.2104,9.1314,3.9568,-47.1601
5560,0.0138,-0.0082,9.8072,0.3212,-0.0285,-0.3259,9.1071,3.9044,-46.9576
5568,0.0095,0.0044,9.8064,0.3022,-0.0035,-0.2212,9.0891,3.8783,-46.7310
5576,0.0156,0.0143,9.7966,0.2925,-0.0326,-0.1632,9.0704,3.8526,-46.5061
5584,0.0121,0.0092,9.8028,0.2694,-0.0214,-0.1275,9.0208,3.8241,-46.3196
5592,0.0116,0.0064,9.8061,0.2585,-0.1267,-0.0714,8.9719,3.7961,-46.1332
5600,-0.0007,0.0075,9.7959,0.2454,-0.1499,-0.1803,8.9235,3.7687,-45.9468
5608,0.0060,0.0071,9.7907,0.1835,-0.1692,-0.0865,8.8695,3.7419,-45.7135
5616,0.0184,-0.0037,9.7920,0.1218,-0.2861,-0.1175,8.8162,3.7155,-45.4823
5624,0.0269,-0.0107,9.7977,0.1531,-0.3430,0.0358,8.7970,3.7017,-45.2561
5632,0.0327,-0.0230,9.7965,0.1748,-0.4380,0.0104,8.7653,3.6760,-45.0289
5640,0.0266,-0.0086,9.7995,0.1655,-0.5042,0.0160,8.7336,3.6508,-44.8037
5648,0.0220,-0.0243,9.7963,0.1485,-0.4478,0.0241,8.6791,3.6659,-44.6260
5656,0.0156,-0.0180,9.7984,0.1324,-0.4510,0.0861,8.6310,3.6660,-44.4149
5664,0.0225,-0.0105,9.7998,0.1358,-0.3836,-0.0145,8.5944,3.6628,-44.1998
5672,0.0110,-0.0191,9.8011,0.1013,-0.4059,0.1219,8.5607,3.6484,-43.9835
5680,0.0070,-0.0156,9.8014,0.0711,-0.3650,0.0740,8.5271,3.6341,-43.7690
5688,0.0152,-0.0060,9.7989,-0.0063,-0.3934,0.1145,8.4936,3.6198,-43.5561
5696,0.0098,-0.0024,9.7994,-0.0425,-0.2831,0.0023,8.4704,3.6029,-43.3475
5704,0.0027,0.0037,9.7990,0.0521,-0.2962,0.0675,8.4470,3.5863,-43.1403
5712,0.0127,0.0009,9.7990,-0.0054,-0.3518,0.0329,8.4010,3.5920,-42.9396
5720,0.0135,-0.0143,9.8008,0.0391,-0.3672,0.1155,8.3555,3.5972,-42.7402
5728,0.0093,-0.0217,9.8025,0.0037,-0.3846,0.0868,8.3346,3.5826,-42.5541
5736,0.0191,-0.0225,9.7958,0.0316,-0.4201,-0.0371,8.3111,3.5657,-42.3429
5744,0.0111,-0.0191,9.8016,-0.0169,-0.3654,-0.1448,8.2547,3.5442,-42.1590
5752,0.0098,-0.0219,9.7918,0.0066,-0.4553,-0.2585,8.1991,3.5230,-41.9761
5760,0.0036,-0.0222,9.7934,0.0531,-0.4608,-0.3242,8.1647,3.5179,-41.7963
5768,0.0062,-0.0243,9.7949,0.0118,-0.5518,-0.3950,8.1550,3.5037,-41.6196
5776,0.0099,-0.0312,9.7976,0.0821,-0.5182,-0.4145,8.1316,3.5028,-41.4238
5784,0.0106,-0.0220,9.7927,0.0182,-0.4085,-0.5027,8.0863,3.5233,-41.2359
5792,0.0111,-0.0195,9.7829,-0.0429,-0.3625,-0.3863,8.0414,3.5428,-41.0491
5800,0.0094,-0.0187,9.7972,0.0164,-0.4255,-0.5239,7.9970,3.5613,-40.8635
5808,0.0069,-0.0252,9.7837,-0.0125,-0.4377,-0.5324,7.9655,3.5456,-40.6915
5816,-0.0041,-0.0243,9.7920,-0.0081,-0.3610,-0.4388,7.9342,3.5300,-40.5203
5824,0.0056,-0.0221,9.7905,0.0764,-0.4375,-0.4136,7.9110,3.5225,-40.3519
5832,-0.0070,-0.0233,9.7963,0.0983,-0.3929,-0.4109,7.8878,3.5149,-40.1843
5840,-0.0107,-0.0216,9.7952,0.0819,-0.4038,-0.3414,7.8546,3.4913,-39.9837
5848,-0.0226,-0.0124,9.7942,0.1303,-0.3741,-0.2296,7.8058,3.4522,-39.8179
5856,-0.0271,-0.0104,9.8006,0.1231,-0.3004,-0.1682,7.7769,3.4235,-39.6491
5864,-0.0380,-0.0086,9.8051,0.1751,-0.2084,-0.1441,7.7558,3.4029,-39.4868
5872,-0.0282,-0.0011,9.8018,0.1206,-0.1393,-0.2039,7.7345,3.3824,-39.3252
5880,-0.0167,0.0003,9.7993,0.0498,-0.1853,-0.1623,7.7038,3.3715,-39.1512
5888,-0.0226,0.0047,9.7942,0.0008,-0.1812,-0.2800,7.6732,3.3605,-38.9783
5896,-0.0084,-0.0008,9.8002,-0.0141,-0.1666,-0.2377,7.6409,3.3567,-38.7990
5904,-0.0033,0.0082,9.7951,0.1079,-0.0539,-0.2534,7.6088,3.3528,-38.6209
5912,-0.0023,0.0169,9.7896,0.0670,-0.0983,-0.1829,7.5768,3.3487,-38.4440
5920,-0.0019,0.0134,9.7850,-0.0147,-0.0500,-0.2036,7.5521,3.3197,-38.2753
5928,0.0108,0.0065,9.7782,0.0165,-0.0946,-0.2261,7.5291,3.3033,-38.1180
5936,0.0040,0.0040,9.7816,0.0063,-0.0571,-0.1995,7.5061,3.2957,-37.9615
5944,-0.0021,0.0122,9.7928,0.0126,-0.0853,-0.1287,7.4830,3.2879,-37.8057
5952,-0.0044,0.0195,9.7930,-0.0214,-0.2004,-0.1732,7.4430,3.2750,-37.6388
5960,-0.0042,0.0085,9.7926,0.0341,-0.2143,-0.0769,7.4051,3.2521,-37.4745
5968,0.0010,0.0048,9.7983,-0.0302,-0.2650,-0.0275,7.3741,3.2443,-37.3179
5976,-0.0021,0.0065,9.7888,0.0044,-0.3055,0.1318,7.3547,3.2233,-37.1489
5984,-0.0003,0.0026,9.7912,0.0054,-0.3708,0.0093,7.3353,3.2026,-36.9809
5992,-0.0019,-0.0014,9.8042,0.0625,-0.3667,0.0202,7.3125,3.1740,-36.8221
6000,-0.0234,0.0119,9.7924,0.0716,-0.3093,0.0226,7.2898,3.1457,-36.6641
6008,-2.5890,1.2655,9.9206,0.0857,-0.0624,-4.8005,7.2513,3.1257,-36.5039
6016,-3.1907,0.9027,9.8229,-0.2315,0.3817,-11.4904,7.2132,3.1059,-36.3446
6024,-4.4311,0.2587,9.8498,-0.3696,0.0783,-17.2020,7.1753,3.0862,-36.1862
6032,-5.7093,-0.3527,9.8838,-0.3682,0.2708,-21.9274,7.1700,3.0729,-36.0303
6040,-6.5757,-1.3158,10.0197,-0.3055,0.7671,-24.9738,7.1733,3.0414,-35.8691
6048,-7.3092,-1.8139,9.9777,-0.0722,0.4014,-24.2275,7.1791,3.0178,-35.7030
6056,-7.4992,-1.7458,9.9052,-0.3105,-0.6070,-23.0897,7.1843,2.9945,-35.5379
6064,-7.8570,-1.8586,9.9798,0.1924,-1.0752,-21.1723,7.1933,2.9640,-35.3769
6072,-8.1994,-2.0431,9.7477,0.3479,-2.4645,-17.9600,7.2046,2.9456,-35.2271
6080,-8.1279,-1.8388,9.7817,0.0459,-2.6594,-14.5281,7.2252,2.9186,-35.0695
6088,-7.8643,-1.5406,9.7952,0.3464,-1.7657,-10.9744,7.2450,2.8920,-34.9128
6096,-7.5104,-1.1819,9.7847,0.1858,-1.7912,-7.7894,7.2639,2.8657,-34.7570
6104,-6.7976,-0.7425,9.8913,1.0777,-2.3969,-3.4451,7.2903,2.8410,-34.5938
6112,-6.1804,-0.4142,9.9718,0.9598,-0.7067,0.7226,7.3158,2.8167,-34.4316
6120,-5.5959,0.1225,9.9914,-0.1690,-0.2451,3.2732,7.3388,2.8162,-34.2830
6128,-4.8680,0.5672,10.1744,-0.2031,-0.3771,4.3334,7.3609,2.8157,-34.1352
6136,-4.2594,0.6142,10.0508,-0.1903,-1.0740,6.0113,7.3822,2.8149,-33.9884
6144,-3.4236,0.6541,9.9686,-0.3114,-0.2977,6.7544,7.4106,2.8222,-33.8437
6152,-2.7643,0.6911,9.8578,-1.0246,1.8314,8.0278,7.4555,2.8305,-33.6917
6160,-2.0429,0.7058,9.7912,-0.5172,2.8113,8.2560,7.4883,2.8479,-33.5393
6168,-1.7213,0.5520,9.6147,-0.2667,1.8469,8.9356,7.5239,2.8688,-33.3958
6176,-1.0353,0.3878,9.7853,-0.3338,1.7941,8.5081,7.5584,2.8891,-33.2531
6184,-0.4042,0.3262,9.8199,-0.2646,1.6103,8.1580,7.6060,2.9284,-33.1191
6192,0.2686,0.1808,9.9049,-0.1452,2.0185,8.3672,7.6562,2.9590,-32.9883
6200,0.7411,0.2277,9.8507,-0.9696,2.2115,9.3780,7.7049,2.9888,-32.8582
6208,1.3340,0.1923,9.8763,-0.8700,2.2628,10.6912,7.7433,3.0446,-32.7286
6216,1.6742,0.2381,9.8945,-0.0520,2.5624,12.2883,7.7804,3.0991,-32.5997
6224,2.1314,0.2509,9.7725,-0.4112,2.3077,13.2022,7.8164,3.1524,-32.4714
6232,2.4942,0.2952,9.7791,-0.7440,1.9467,14.0495,7.8475,3.2108,-32.3624
6240,2.9786,0.4770,9.8289,-0.9529,1.2602,14.4837,7.8850,3.2827,-32.2549
6248,3.2252,0.4944,9.8256,-1.2540,0.9904,15.3976,7.9214,3.3530,-32.1477
6256,3.4060,0.4637,9.8436,-1.1179,0.6870,17.1809,7.9555,3.4194,-32.0395
6264,3.5865,0.5251,9.8444,-1.4598,1.1916,18.3395,7.9800,3.5062,-31.9316
6272,3.6942,0.4423,9.8424,-1.6907,0.9861,19.8021,7.9878,3.5826,-31.8240
6280,3.6819,0.2912,9.8870,-1.1249,1.2803,21.4621,8.0023,3.6551,-31.7298
6288,3.6029,0.0343,9.8686,-1.1225,1.9776,22.9135,8.0160,3.7259,-31.6356
6296,3.4562,-0.2269,9.8693,-1.1148,1.8764,24.2160,8.0373,3.8118,-31.5427
6304,3.2957,-0.4732,9.8809,-0.8008,1.7930,24.9016,8.0413,3.8948,-31.4427
6312,3.2676,-0.6893,9.8216,-0.9699,2.3825,25.2799,8.0447,3.9760,-31.3430
6320,3.2826,-0.7559,9.9001,-0.9183,2.6956,25.5723,8.0303,4.0498,-31.2549
6328,3.2671,-0.7557,9.9183,-1.1115,2.7097,25.5373,8.0155,4.1220,-31.1669
6336,3.3715,-0.8706,10.0304,-1.0724,2.2405,25.4904,8.0005,4.1928,-31.0788
6344,3.4960,-0.8312,10.0176,-1.0909,1.9251,24.9283,7.9864,4.2632,-30.9975
