Timestamp_ms,AccX_Filt,AccY_Filt,AccZ_Filt,GyrX_Filt,GyrY_Filt,GyrZ_Filt,MagX_Filt,MagY_Filt,MagZ_Filt
5233,-0.1157,-0.0318,9.6870,0.0508,0.9234,0.3205,0.0000,-61.8300,-34.1550
5240,-0.0707,-0.0271,9.7630,-0.2840,0.1951,-0.0745,0.0000,-64.4504,-35.6025
5248,-0.0523,0.0229,9.7499,-0.5589,-0.1099,0.3226,-0.6259,-64.7298,-36.5258
5256,-0.0789,0.0297,9.7506,-0.4362,-0.3088,0.6291,-0.7246,-65.1503,-36.5776
5264,-0.0373,0.0319,9.7633,-0.4487,-0.3053,1.0109,-0.5768,-65.4238,-36.5360
5272,-0.0517,0.0281,9.7605,-0.3743,0.1313,1.0802,-0.5252,-65.3776,-36.5706
5280,-0.0514,0.0353,9.7770,-0.4191,-0.0110,1.0406,-0.4867,-65.2534,-36.5439
5288,-0.0414,0.0436,9.7986,-0.5396,-0.1655,0.9083,-0.4196,-65.1180,-36.5348
5296,-0.0264,0.0354,9.7847,-0.5065,-0.1872,0.7483,-0.4156,-65.0085,-36.3399
5304,-0.0184,0.0323,9.7837,-0.2931,-0.3333,0.6132,-0.4859,-64.7100,-36.2971
5312,-0.0142,0.0286,9.7897,-0.4847,-0.3115,0.4724,-0.4885,-64.4633,-36.2842
5320,-0.0199,0.0260,9.7932,-0.3704,-0.1997,0.3984,-0.4900,-64.2066,-36.2444
5328,-0.0216,0.0142,9.7813,-0.2886,-0.0634,0.4691,-0.4563,-63.8966,-36.0582
5336,-0.0123,0.0103,9.7860,-0.2034,-0.1543,0.4041,-0.4267,-63.5879,-35.8741
5344,-0.0112,0.0149,9.7875,-0.2209,0.0009,0.4301,-0.3707,-63.3699,-35.7713
5352,-0.0166,0.0080,9.7943,-0.1270,0.0149,0.5318,-0.3213,-63.1423,-35.6604
5360,-0.0171,0.0171,9.8018,-0.1483,0.0819,0.5593,-0.2772,-62.9070,-35.5430
