Timestamp_ms,AccX_Filt,AccY_Filt,AccZ_Filt,GyrX_Filt,GyrY_Filt,GyrZ_Filt,MagX_Filt,MagY_Filt,MagZ_Filt
5233,0.0405,-0.0531,9.7296,0.9501,-1.1317,-0.6234,-1.2150,-62.9100,-37.1250
5240,0.0790,-0.0150,9.7316,-0.0825,-0.2517,0.1361,-1.2665,-65.5762,-38.6984
5248,0.0273,-0.0281,9.7339,-0.2859,0.0023,0.7976,-1.6657,-66.1568,-39.3670
5256,0.0086,-0.0050,9.7635,-0.2805,0.3137,0.5009,-1.8289,-66.1437,-39.2096
5264,0.0184,-0.0193,9.7683,-0.0924,0.0820,0.5935,-1.9244,-66.0051,-39.0364
5272,0.0208,-0.0238,9.7881,0.1886,-0.0731,0.2832,-1.9118,-65.7549,-38.7334
5280,0.0148,-0.0147,9.7732,0.2830,-0.1039,0.4982,-1.8790,-65.6101,-38.7364
5288,0.0074,-0.0085,9.7870,0.3225,-0.2611,0.1164,-1.8891,-65.5692,-38.4694
5296,0.0126,-0.0075,9.7888,0.3181,-0.1859,-0.0122,-1.9279,-65.3182,-38.3187
5304,0.0240,-0.0055,9.7903,0.4110,-0.0289,0.0516,-1.9573,-65.0540,-38.1609
5312,0.0312,-0.0049,9.7910,0.3928,-0.3083,0.1931,-1.9798,-65.0234,-38.0389
5320,0.0213,-0.0017,9.7882,0.3610,-0.4160,0.4986,-1.8979,-64.7845,-37.9069
5328,0.0118,-0.0155,9.7960,0.1795,-0.5335,0.6300,-1.8273,-64.5344,-37.7674
5336,0.0159,-0.0046,9.7991,0.1006,-0.4603,0.6513,-1.7655,-64.2760,-37.6223
5344,0.0145,-0.0042,9.8094,0.1006,-0.4470,0.4907,-1.7904,-63.9915,-37.3735
5352,0.0128,0.0076,9.8105,-0.0088,-0.5010,0.5287,-1.8112,-63.7046,-37.1338
5360,0.0181,0.0121,9.8090,-0.0767,-0.4315,0.5205,-1.8810,-63.3548,-36.9809
5368,0.0088,0.0026,9.8014,0.0035,-0.2243,0.4810,-1.9833,-63.0523,-36.7595
5376,0.0106,-0.0016,9.7989,0.0836,-0.1854,0.3404,-2.0738,-62.7507,-36.5434
5384,0.0112,-0.0101,9.7963,0.0734,-0.3494,0.3297,-2.1167,-62.4127,-36.4589
5392,0.0155,0.0021,9.7967,0.0678,-0.2469,0.2542,-2.0762,-62.0866,-36.3239
5400,0.0105,0.0051,9.8050,0.0910,-0.2419,0.1745,-2.0723,-61.7642,-36.1860
5408,0.0004,0.0036,9.7972,-0.0436,-0.1334,0.0631,-2.1068,-61.5037,-36.0263
5416,0.0104,0.0087,9.7989,0.0594,-0.1824,0.0993,-2.1375,-61.2416,-35.8664
5424,0.0147,-0.0015,9.8009,0.1181,-0.1414,0.0034,-2.1410,-60.9903,-35.6823
5432,0.0158,-0.0074,9.8041,0.0520,-0.0415,0.0577,-2.0916,-60.7142,-35.5059
5440,0.0100,-0.0013,9.7927,-0.0030,0.0322,-0.0135,-2.0450,-60.4384,-35.3309
5448,0.0019,-0.0054,9.7953,0.0150,0.0222,-0.0357,-2.0438,-60.1631,-35.1946
5456,0.0102,-0.0123,9.7908,-0.0304,-0.0058,-0.0658,-2.0419,-59.8884,-35.0570
5464,0.0026,-0.0181,9.7927,-0.0084,-0.0352,-0.0204,-2.0395,-59.6144,-34.9183
5472,0.0163,-0.0169,9.7971,-0.0605,-0.0475,-0.0990,-1.9979,-59.3025,-34.7449
5480,0.0233,-0.0190,9.7974,-0.0796,0.1747,-0.0710,-1.9910,-59.0267,-34.5682
5488,0.0272,-0.0305,9.8009,-0.1449,0.1791,-0.0387,-1.9840,-58.7157,-34.4160
5496,0.0198,-0.0181,9.8064,-0.1213,0.2185,-0.0318,-1.9767,-58.4081,-34.2640
5504,0.0027,-0.0224,9.7985,-0.1019,0.1595,0.0623,-1.9694,-58.1466,-34.1123
5512,0.0018,-0.0131,9.7969,-0.0952,0.2832,0.0151,-1.9869,-57.8816,-33.9359
5520,-0.0082,-0.0074,9.7936,-0.0371,0.3312,-0.0554,-1.9827,-57.5769,-33.7816
