Timestamp_ms,AccX_Filt,AccY_Filt,AccZ_Filt,GyrX_Filt,GyrY_Filt,GyrZ_Filt,MagX_Filt,MagY_Filt,MagZ_Filt
5233,-0.0753,-0.0242,9.6626,0.8730,1.0159,1.5019,-0.4050,-69.9300,-32.4000
5240,-0.0493,0.0020,9.7768,-0.0990,2.1144,0.2880,0.3596,-72.7516,-34.9814
5248,-0.0260,-0.0021,9.7766,0.0234,1.6068,-0.5054,0.4362,-73.9414,-35.2472
5256,-0.0093,-0.0066,9.7715,-0.1145,1.3215,-0.1981,0.5477,-74.1099,-35.2951
5264,0.0029,-0.0074,9.7694,0.0490,0.6196,-0.0378,0.6147,-74.0653,-35.3422
5272,0.0094,0.0069,9.7507,0.0757,0.3155,-0.0339,0.5854,-74.0611,-35.4387
5280,0.0134,0.0018,9.7632,0.3896,0.3295,0.3796,0.5638,-73.9545,-35.4586
5288,0.0185,0.0064,9.7721,0.3029,0.3952,0.1316,0.5101,-73.7288,-35.2454
5296,0.0071,-0.0023,9.7836,0.4473,0.2202,-0.0340,0.4678,-73.4735,-35.0413
5304,0.0087,-0.0063,9.7923,0.2739,0.2339,-0.1736,0.4335,-73.1981,-34.8438
5312,0.0232,-0.0091,9.7898,0.2673,0.1979,0.0254,0.3645,-72.8546,-34.7732
5320,0.0421,-0.0004,9.7893,0.2564,0.1841,0.0658,0.3439,-72.5225,-34.6122
5328,0.0423,0.0092,9.7937,0.2727,0.2290,-0.0954,0.3834,-72.3140,-34.5880
5336,0.0507,-0.0032,9.7732,0.1656,0.4423,-0.0163,0.4171,-72.0862,-34.5438
5344,0.0393,0.0077,9.7861,0.2607,0.4446,-0.0070,0.4759,-71.7540,-34.4243
5352,0.0289,0.0038,9.7851,0.1123,0.5123,-0.0733,0.3131,-71.3745,-34.2996
5360,0.0216,0.0024,9.7890,0.1062,0.4173,-0.0231,0.3978,-71.1582,-34.1269
5368,0.0224,0.0147,9.7921,0.1773,0.3444,-0.0427,0.4733,-70.9292,-33.9558
5376,0.0116,0.0112,9.7862,0.1597,0.3797,-0.0915,0.5409,-70.6896,-33.7863
5384,0.0039,0.0139,9.7781,0.1889,0.3403,-0.1545,0.6094,-70.4117,-33.6630
5392,-0.0026,0.0096,9.7873,0.1827,0.3372,-0.2009,0.6714,-70.1295,-33.5368
5400,-0.0088,0.0161,9.7946,0.1201,0.3735,-0.2078,0.6871,-69.7082,-33.4491
5408,-0.0088,0.0252,9.7970,0.0453,0.3063,-0.1587,0.7014,-69.2962,-33.3559
5416,-0.0158,0.0269,9.8121,0.1356,0.2410,-0.0626,0.7146,-68.8926,-33.2581
5424,-0.0202,0.0321,9.8119,0.0864,0.1972,-0.1563,0.7568,-68.5744,-33.1023
5432,-0.0154,0.0285,9.8080,0.1123,0.1011,-0.1943,0.7612,-68.2515,-32.9243
5440,-0.0148,0.0220,9.8160,0.0180,0.0181,-0.2586,0.7930,-67.9857,-32.7764
5448,-0.0161,0.0208,9.8245,0.0057,-0.0025,-0.2586,0.8227,-67.7174,-32.6288
5456,-0.0067,0.0210,9.8281,0.0563,-0.0094,-0.1902,0.8503,-67.4215,-32.4557
5464,-0.0129,0.0217,9.8351,0.0424,-0.0158,-0.1293,0.8361,-67.1157,-32.3448
5472,-0.0157,0.0196,9.8358,-0.0373,-0.0067,-0.0660,0.8374,-66.8206,-32.1981
5480,-0.0114,0.0122,9.8283,0.0137,0.0048,-0.0216,0.8387,-66.5260,-32.0520
5488,-0.0139,0.0119,9.8274,-0.0600,0.0216,-0.0479,0.8399,-66.2320,-31.9064
5496,-0.0208,0.0038,9.8262,-0.0060,-0.0243,0.0536,0.8543,-65.9342,-31.7350
5504,-0.0123,0.0094,9.8278,0.0246,0.0811,-0.0692,0.8679,-65.6376,-31.5656
5512,-0.0180,0.0025,9.8297,0.0158,0.1604,-0.0377,0.8891,-65.3378,-31.4108
5520,-0.0103,-0.0010,9.8278,0.0076,0.0975,0.0956,0.8727,-65.0030,-31.2938
5528,-0.0074,-0.0110,9.8329,0.0083,0.0837,0.2274,0.8572,-64.6714,-31.1761
5536,-0.0080,0.0023,9.8325,0.0573,0.0705,0.2559,0.8771,-64.3662,-31.0617
5544,0.0033,-0.0089,9.8285,0.0360,0.1456,0.0796,0.9037,-64.0630,-30.9390
5552,-0.0024,-0.0131,9.8253,0.0804,0.1691,0.0809,0.9069,-63.7836,-30.8272
5560,0.0029,-0.0156,9.8266,0.0526,0.0487,0.0569,0.8849,-63.4980,-30.7148
5568,-0.0006,-0.0201,9.8209,0.0986,-0.0071,0.1232,0.8640,-63.2137,-30.6018
5576,-0.0118,-0.0141,9.8212,0.1618,0.0369,0.0392,0.8406,-62.9272,-30.4438
5584,-0.0225,-0.0210,9.8050,0.1307,-0.0319,0.0119,0.8484,-62.6589,-30.3042
5592,-0.0212,-0.0263,9.8032,0.1506,0.0157,-0.0610,0.8558,-62.3914,-30.1655
5600,-0.0337,-0.0166,9.7910,0.1944,-0.1067,-0.0067,0.8630,-62.1247,-30.0275
5608,-0.0223,-0.0133,9.7974,0.1428,-0.0505,-0.0180,0.8699,-61.7928,-29.8903
5616,-0.0092,-0.0066,9.7981,0.0883,-0.0981,0.0368,0.8765,-61.4646,-29.7540
5624,-0.0146,-0.0096,9.7983,0.1209,-0.0371,0.0345,0.8497,-61.2092,-29.6033
5632,-0.0191,-0.0101,9.8053,0.1846,-0.1152,0.0241,0.8417,-60.9159,-29.4748
5640,-0.0190,-0.0152,9.7938,0.1339,-0.0971,0.0088,0.8340,-60.6249,-29.3469
5648,-0.0190,-0.0206,9.7871,0.1182,-0.1315,-0.0439,0.8238,-60.3559,-29.2366
5656,-0.0103,-0.0132,9.7938,0.1031,-0.0505,-0.0886,0.8140,-60.0743,-29.1066
5664,-0.0056,-0.0084,9.8031,0.0644,0.0106,-0.2018,0.8237,-59.8220,-28.9774
5672,-0.0041,-0.0131,9.8064,0.0734,-0.0203,-0.1367,0.8089,-59.5139,-28.8542
5680,-0.0114,-0.0137,9.8126,0.0010,-0.0633,-0.1880,0.7945,-59.2086,-28.7316
5688,-0.0130,-0.0084,9.8210,0.0398,0.0575,-0.1696,0.7703,-58.9218,-28.6355
5696,-0.0163,-0.0085,9.8108,0.0121,0.0462,-0.1385,0.7571,-58.6629,-28.5133
5704,-0.0206,-0.0132,9.8162,0.0288,0.1000,-0.1680,0.7444,-58.4053,-28.3916
5712,-0.0231,-0.0129,9.8219,0.0339,-0.0557,-0.1855,0.7520,-58.1639,-28.2630
5720,-0.0200,-0.0104,9.8212,0.0227,-0.0755,-0.1565,0.7593,-57.9233,-28.1351
5728,-0.0135,-0.0104,9.8278,0.0255,-0.0621,-0.2174,0.7665,-57.6837,-28.0079
5736,-0.0153,-0.0131,9.8284,0.0522,0.1171,-0.2595,0.7497,-57.4116,-27.8886
5744,-0.0079,-0.0119,9.8211,0.0590,0.0952,-0.2621,0.7451,-57.1579,-27.7791
5752,-0.0066,0.0001,9.8137,0.0762,-0.0008,-0.2432,0.7337,-56.9263,-27.6331
5760,-0.0132,-0.0013,9.8228,0.0444,0.0709,-0.2251,0.7227,-56.6954,-27.4884
5768,-0.0074,-0.0012,9.8170,0.0917,0.0965,-0.2079,0.7389,-56.4587,-27.3786
5776,-0.0016,-0.0034,9.8222,0.0673,0.0997,-0.3279,0.7546,-56.2119,-27.2470
5784,-0.0014,-0.0155,9.8224,0.1377,0.1669,-0.2500,0.7438,-55.9708,-27.1164
5792,-0.0080,0.0042,9.8166,0.1755,0.0197,-0.1513,0.7333,-55.7310,-26.9867
5800,-0.0031,0.0147,9.8201,0.1581,-0.1210,-0.1400,0.7252,-55.4966,-26.8495
5808,-0.0096,0.0200,9.8232,0.2164,-0.1832,-0.0917,0.7132,-55.2528,-26.7406
5816,-0.0164,0.0281,9.8155,0.2187,-0.1785,-0.0482,0.7015,-55.0104,-26.6321
5824,-0.0230,0.0304,9.8136,0.1887,-0.1233,-0.0254,0.7063,-54.7612,-26.5199
5832,-0.0244,0.0302,9.8086,0.1895,-0.1132,-0.0436,0.7111,-54.5137,-26.4082
5840,-0.0092,0.0163,9.8133,0.2116,-0.0769,0.0966,0.7158,-54.2677,-26.2970
5848,-0.0069,0.0093,9.8166,0.1713,-0.1330,0.0676,0.7085,-54.0447,-26.1805
5856,-0.0167,-0.0003,9.8100,0.1675,-0.2400,0.0640,0.7073,-53.8150,-26.0569
5864,-0.0128,0.0079,9.8122,0.1426,-0.1527,0.0285,0.7234,-53.5942,-25.9456
5872,-0.0120,0.0002,9.8097,0.1454,-0.1067,0.0773,0.7390,-53.3743,-25.8349
5880,-0.0117,-0.0021,9.8020,0.1053,-0.1134,0.1481,0.7337,-53.1349,-25.7192
5888,-0.0133,-0.0020,9.7945,0.0804,-0.1037,0.2130,0.7378,-52.8915,-25.6078
5896,-0.0156,-0.0023,9.7905,-0.0369,-0.0892,0.1817,0.7491,-52.6515,-25.4898
5904,-0.0118,0.0079,9.7987,-0.0316,-0.0620,0.2852,0.7602,-52.4130,-25.3725
5912,-0.0120,0.0189,9.8093,-0.1066,-0.1053,0.2881,0.7710,-52.1761,-25.2560
5920,-0.0222,0.0098,9.8134,-0.1489,-0.0934,0.2561,0.7657,-51.9354,-25.1473
5928,-0.0154,0.0061,9.8057,-0.1253,-0.0686,0.1615,0.7605,-51.6963,-25.0391
5936,-0.0189,-0.0023,9.8148,-0.1268,-0.1517,0.1912,0.7554,-51.4898,-24.9437
5944,-0.0166,0.0002,9.8166,-0.0722,-0.1938,0.2649,0.7504,-51.2843,-24.8485
5952,-0.0145,-0.0004,9.8191,-0.1347,-0.1806,0.1245,0.7456,-51.0797,-24.7537
5960,-0.0204,0.0033,9.8136,-0.0584,-0.2321,0.1104,0.7225,-50.8575,-24.6558
5968,-0.0166,-0.0021,9.8306,-0.0095,-0.2333,0.0863,0.7247,-50.6350,-24.5352
5976,-0.0254,-0.0070,9.8299,0.0800,-0.2985,0.0925,0.7154,-50.4056,-24.4121
5984,-0.0179,-0.0105,9.8198,0.0189,-0.2914,0.0505,0.7062,-50.1777,-24.2901
5992,-0.0148,-0.0127,9.8229,-0.0236,-0.2447,0.1170,0.7134,-49.9657,-24.1785
6000,-0.0165,-0.0065,9.8212,-0.1469,-0.1840,0.2179,0.7315,-49.7437,-24.0773
6008,-0.0131,-0.0119,9.8278,-0.0594,-0.1820,0.2504,0.7288,-49.5357,-23.9734
6016,-0.0204,-0.0090,9.8293,-0.1652,-0.2334,0.1534,0.7261,-49.3288,-23.8701
6024,-0.0184,-0.0141,9.8279,-0.1756,-0.2185,0.1781,0.7234,-49.1230,-23.7674
6032,-0.0166,-0.0087,9.8389,-0.1722,-0.2043,0.1670,0.7330,-48.9260,-23.6606
6040,-0.0191,-0.0120,9.8343,-0.1983,-0.3027,0.0817,0.7424,-48.7298,-23.5545
6048,-0.0291,-0.0009,9.8242,-0.1593,-0.3488,0.0374,0.7306,-48.5241,-23.4491
6056,-0.0226,0.0037,9.8201,-0.1513,-0.4116,0.0831,0.7190,-48.3196,-23.3443
6064,-0.0177,-0.0058,9.8113,-0.1143,-0.4156,0.0628,0.7075,-48.1161,-23.2401
6072,-0.0223,-0.0026,9.8098,-0.1509,-0.4968,0.0114,0.7021,-47.9138,-23.1439
6080,-0.0174,-0.0001,9.8039,-0.0926,-0.5024,0.0236,0.7157,-47.7067,-23.0395
6088,-0.0157,0.0030,9.7939,-0.1062,-0.4705,0.0459,0.7320,-47.4980,-22.9371
6096,-0.0141,0.0122,9.7918,-0.1192,-0.4506,0.0193,0.7479,-47.2906,-22.8354
6104,-0.0173,-0.0004,9.7885,-0.1023,-0.4609,0.1271,0.7507,-47.0971,-22.7400
6112,-0.0188,-0.0049,9.7909,-0.1207,-0.5561,0.0489,0.7479,-46.9032,-22.6436
6120,-0.0160,-0.0027,9.7818,-0.1198,-0.5245,0.1101,0.7395,-46.7034,-22.5575
6128,-0.0167,-0.0002,9.7831,-0.1855,-0.3955,0.1366,0.7313,-46.5047,-22.4718
6136,-0.0087,-0.0025,9.7915,-0.1230,-0.2936,0.1967,0.7232,-46.3072,-22.3864
6144,0.0017,0.0004,9.7973,-0.0046,-0.2627,0.2194,0.7166,-46.1121,-22.2905
6152,0.0080,0.0076,9.7926,0.0233,-0.2919,0.0358,0.7101,-45.9181,-22.1952
6160,-0.0009,0.0137,9.7883,0.0580,-0.2719,0.0603,0.7050,-45.7239,-22.1110
6168,-0.0012,0.0096,9.7816,0.0618,-0.1460,0.0063,0.7146,-45.5254,-22.0219
6176,-0.0106,0.0100,9.7752,0.0708,-0.0309,-0.0613,0.7240,-45.3281,-21.9333
6184,-0.0100,0.0044,9.7789,0.0634,0.0551,-0.1126,0.7215,-45.1477,-21.8346
6192,-0.0085,0.0053,9.7759,0.0617,0.0653,-0.1190,0.7113,-44.9447,-21.7522
6200,-0.0040,-0.0048,9.7800,0.0467,-0.0129,-0.1891,0.7127,-44.7521,-21.6610
6208,-0.0068,0.0011,9.7737,-0.0557,-0.0504,-0.1148,0.7078,-44.5683,-21.5665
6216,-0.0120,0.0059,9.7781,-0.1055,-0.0408,-0.1078,0.7029,-44.3854,-21.4726
6224,-0.0176,0.0049,9.7770,-0.0999,0.0376,-0.1170,0.6981,-44.2061,-21.3981
6232,-0.0214,0.0016,9.7787,-0.1691,0.0939,-0.0032,0.6921,-44.0326,-21.3038
6240,-0.0207,-0.0009,9.7757,-0.0807,0.1345,-0.0438,0.6862,-43.8600,-21.2101
6248,-0.0173,-0.0058,9.7767,-0.0601,0.1466,0.0535,0.6705,-43.6870,-21.1243
6256,-0.0083,0.0001,9.7743,-0.0911,0.0782,0.0052,0.6550,-43.5149,-21.0390
6264,0.0112,-0.0127,9.7781,-0.1101,0.1194,0.0470,0.6397,-43.3437,-20.9541
6272,0.0098,-0.0093,9.7953,-0.0989,0.2228,0.0416,0.6549,-43.1648,-20.8708
6280,0.0025,-0.0030,9.8003,-0.1096,0.1884,0.1244,0.6494,-42.9845,-20.7856
